Sample	cutadapt_version	r_processed	r_with_adapters	r_written	bp_processed	quality_trimmed	bp_written	percent_trimmed
TS047_RoL_RNA_326_2	4.9	24152003	9718319	24152003	2439352303	3278416	2405717329	1.378848555767633
TS047_RoL_RNA_328_1	4.9	29871061	11177105	29871061	3016977161	1824698	2981822579	1.1652253273388302
TS047_RoL_RNA_328_2	4.9	29871061	11725900	29871061	3016977161	4530013	2978135988	1.2874201867383643
TS047_RoL_RNA_347_1	4.9	23112990	8743893	23112990	2334411990	1459555	2303877039	1.308036076356856
TS047_RoL_RNA_347_2	4.9	23112990	9222514	23112990	2334411990	3439071	2301379864	1.4150084107475818
TS047_RoL_RNA_355_1	4.9	19831930	8010997	19831930	2003024930	1745464	1966287141	1.8341154146294125
TS047_RoL_RNA_355_2	4.9	19831930	8505430	19831930	2003024930	3383714	1964471609	1.9247549255415406
TS047_RoL_RNA_377_1	4.9	24087841	9004813	24087841	2432871941	1574433	2402870062	1.2331877602923944
TS047_RoL_RNA_377_2	4.9	24087841	9383115	24087841	2432871941	3200154	2400638740	1.3249033151638456
TS047_RoL_RNA_381_1	4.9	25280672	9545515	25280672	2553347872	1619859	2522072875	1.2248623598437747
TS047_RoL_RNA_381_2	4.9	25280672	10143162	25280672	2553347872	3398954	2519408473	1.329211713459779
TS047_RoL_RNA_407_1	4.9	30645302	11436133	30645302	3095175502	1460959	3061167836	1.098731428251011
TS047_RoL_RNA_407_2	4.9	30645302	12142970	30645302	3095175502	3388343	3057714567	1.210300836763343
TS047_RoL_RNA_412_1	4.9	26174890	9619747	26174890	2643663890	1449943	2615551808	1.063375798502131
TS047_RoL_RNA_412_2	4.9	26174890	10133600	26174890	2643663890	3311117	2612790115	1.1678404019809039
TS047_RoL_RNA_439_1	4.9	24261449	9234939	24261449	2450406349	1699026	2418953916	1.2835598884583204
TS047_RoL_RNA_439_2	4.9	24261449	9763616	24261449	2450406349	3673266	2416011821	1.4036254849746146
TS047_RoL_RNA_442_1	4.9	29065384	10678486	29065384	2935603784	1679001	2903873600	1.0808742028791445
TS047_RoL_RNA_442_2	4.9	29065384	11350578	29065384	2935603784	3920802	2900348969	1.200939145539676
TS047_RoL_RNA_468_1	4.9	27304092	10187226	27304092	2757713292	1646150	2725947444	1.1518908833688863
TS047_RoL_RNA_468_2	4.9	27304092	10772189	27304092	2757713292	3634794	2723133660	1.25392411532823
TS047_RoL_RNA_469_1	4.9	30795561	11420870	30795561	3110351661	1728682	3074910516	1.139457812580762
TS047_RoL_RNA_469_2	4.9	30795561	12047046	30795561	3110351661	4475434	3071023590	1.2644252253893293
TS047_RoL_RNA_46_1	4.9	25735455	10132901	25735455	2599280955	1064625	2564217179	1.3489798373873747
TS047_RoL_RNA_46_2	4.9	25735455	10478333	25735455	2599280955	2575687	2561789835	1.4423650482215764
TS047_RoL_RNA_477_1	4.9	28397378	10426727	28397378	2868135178	1705101	2836270664	1.1109836887890225
TS047_RoL_RNA_477_2	4.9	28397378	11210735	28397378	2868135178	3837900	2832762529	1.2332978330772386
TS047_RoL_RNA_478_1	4.9	28773078	10664452	28773078	2906080878	1734581	2873059553	1.1362837576194946
TS047_RoL_RNA_478_2	4.9	28773078	11346386	28773078	2906080878	3695683	2869884174	1.24555046881252
TS047_RoL_RNA_498_1	4.9	27997372	10419082	27997372	2827734572	1675506	2795171588	1.1515573039434481
TS047_RoL_RNA_498_2	4.9	27997372	11043888	27997372	2827734572	3852660	2791897423	1.2673448687460473
TS047_RoL_RNA_500_1	4.9	28102108	10372989	28102108	2838312908	1444870	2808149321	1.0627294444873097
TS047_RoL_RNA_500_2	4.9	28102108	11008281	28102108	2838312908	2937343	2805229261	1.165609574150589
TS047_RoL_RNA_502_1	4.9	25354612	8925763	25354612	2560815812	1648414	2542038986	0.733236100465003
TS047_RoL_RNA_502_2	4.9	25354612	9571939	25354612	2560815812	3550688	2538757061	0.8613954543951403
TS047_RoL_RNA_506_1	4.9	28734343	10701766	28734343	2902168643	1700190	2869111224	1.1390592024944568
TS047_RoL_RNA_506_2	4.9	28734343	11376106	28734343	2902168643	4026998	2865371809	1.2679081930250184
TS047_RoL_RNA_51_1	4.9	24529468	9248118	24529468	2477476268	1450014	2447077234	1.2270161531977186
TS047_RoL_RNA_51_2	4.9	24529468	9709764	24529468	2477476268	3585053	2444422790	1.3341592178674302
TS047_RoL_RNA_526_1	4.9	37183488	13789397	37183488	3755532288	1884038	3716448708	1.0406934890397088
TS047_RoL_RNA_526_2	4.9	37183488	14455674	37183488	3755532288	4488472	3712259763	1.1522341357114168
TS047_RoL_RNA_528_1	4.9	34310829	12624037	34310829	3465393729	1976140	3426244456	1.129720778114792
TS047_RoL_RNA_528_2	4.9	34310829	13656164	34310829	3465393729	4428870	3421948755	1.2536807473399798
TS047_RoL_RNA_530_1	4.9	25672766	9681803	25672766	2592949366	1511807	2561179724	1.2252318697996512
TS047_RoL_RNA_530_2	4.9	25672766	10296199	25672766	2592949366	3245306	2558425806	1.3314398056780257
TS047_RoL_RNA_532_1	4.9	26300118	9621643	26300118	2656311918	1389191	2627977050	1.0666995772595107
TS047_RoL_RNA_532_2	4.9	26300118	10313353	26300118	2656311918	3328619	2625042388	1.1771783949056542
TS047_RoL_RNA_559_1	4.9	25621784	9383371	25621784	2587800184	1248937	2559937470	1.0766949539717632
TS047_RoL_RNA_559_2	4.9	25621784	9968408	25621784	2587800184	3230060	2556799384	1.1979595716730191
TS047_RoL_RNA_561_1	4.9	30742361	11446293	30742361	3104978461	1783346	3070376738	1.1143949445902452
TS047_RoL_RNA_561_2	4.9	30742361	12071960	30742361	3104978461	4226633	3066545426	1.2377874913702984
TS047_RoL_RNA_562_1	4.9	26377903	9841908	26377903	2664168203	1449668	2631364013	1.2313107694574494
TS047_RoL_RNA_562_2	4.9	26377903	10476499	26377903	2664168203	3549445	2627898031	1.3614069847075643
TS047_RoL_RNA_586_1	4.9	22600398	8689506	22600398	2282640198	1432995	2250610643	1.4031801870511
TS047_RoL_RNA_586_2	4.9	22600398	9021778	22600398	2282640198	3526791	2247812910	1.5257458459951296
TS047_RoL_RNA_616_1	4.9	21442189	7644052	21442189	2165661089	1055310	2149683448	0.7377719940185895
TS047_RoL_RNA_616_2	4.9	21442189	7942300	21442189	2165661089	2332561	2147688747	0.8298778646061733
TS047_RoL_RNA_618_1	4.9	28326343	9975897	28326343	2860960643	1315116	2840000300	0.732633042376319
TS047_RoL_RNA_618_2	4.9	28326343	10321689	28326343	2860960643	3619243	2836987862	0.8379276750505091
TS047_RoL_RNA_646_1	4.9	22829896	7967757	22829896	2305819496	1269806	2289563710	0.7049895288074188
TS047_RoL_RNA_646_2	4.9	22829896	8405524	22829896	2305819496	2916197	2286904512	0.8203150347550014
TS047_RoL_RNA_651_1	4.9	27411089	9598279	27411089	2768519989	1455803	2749008134	0.7047756591075853
TS047_RoL_RNA_651_2	4.9	27411089	10195328	27411089	2768519989	3137337	2745667887	0.8254266572319121
TS047_RoL_RNA_652_1	4.9	21686501	7567830	21686501	2190336601	1245783	2174200433	0.7366980943765912
