task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
100	7a/8af39f	984431	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:05:03.072	1m 45s	14s	150.1%	12 MB	208.3 MB	1.6 GB	2.2 MB
94	52/caae5a	984421	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:02:43.153	4m 40s	47.5s	328.6%	2.1 GB	2.7 GB	7.8 GB	1.1 GB
93	32/e3d05e	984422	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:02:43.186	4m 40s	47.3s	329.1%	2.1 GB	2.8 GB	7.8 GB	1.1 GB
99	b1/c77428	984429	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:04:53.170	2m 40s	1m 15s	118.2%	4 MB	209.8 MB	1.5 GB	149.4 KB
98	5f/68caa8	984427	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:04:13.082	3m 45s	50.5s	332.2%	2.2 GB	2.7 GB	8.2 GB	1.1 GB
97	14/aacdb9	984428	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:04:13.115	3m 45s	49.6s	326.6%	2.2 GB	2.7 GB	8.2 GB	1.1 GB
103	a2/ec3624	984434	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:05:53.221	2m 10s	1m 18s	115.8%	4 MB	209.8 MB	1.5 GB	148.2 KB
102	e7/fd3896	984432	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:05:03.125	3m 50s	59.3s	287.3%	2.2 GB	2.7 GB	8.4 GB	1.2 GB
101	a9/c1325f	984433	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:05:03.205	3m 50s	59.3s	271.7%	2.1 GB	3 GB	8.4 GB	1.2 GB
104	b1/9fd7ca	984435	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:06:18.461	2m 39s	3s	5.2%	12 MB	21.6 MB	1.5 MB	704 B
105	3b/cdc247	984436	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:06:18.496	2m 40s	6s	2.3%	12 MB	21.6 MB	1.5 MB	704 B
107	3b/47c423	984438	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:06:48.171	2m 40s	1m 22s	118.2%	4 MB	209.8 MB	1.6 GB	147.3 KB
11	b2/3e0ce7	984339	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-22 23:28:53.907	41m 9s	30m 35s	1098.1%	34.7 GB	43.2 GB	75.7 GB	73.8 GB
117	56/772b32	984448	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:08:58.281	1m 5s	1.8s	1.9%	2 MB	3.9 MB	627.2 KB	3.6 KB
118	c9/572cd4	984449	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_177)	COMPLETED	0	2025-04-23 00:08:58.317	1m 5s	1.8s	1.9%	2 MB	3.9 MB	627.2 KB	3.6 KB
106	26/166613	984437	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_177)	FAILED	0	2025-04-23 00:06:18.530	4m 9s	1s	2.6%	0	3.6 MB	115.2 KB	607 B
108	05/4bec2a	984439	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:07:23.482	3m 39s	3s	4.1%	14 MB	21.6 MB	1.5 MB	704 B
110	8f/071694	984441	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:07:23.554	3m 40s	3s	4.5%	14 MB	21.6 MB	1.5 MB	704 B
111	41/2ed675	984442	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:07:58.369	3m 25s	3s	7.3%	14 MB	22.1 MB	1.5 MB	704 B
113	af/4225e1	984444	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:07:58.443	3m 25s	2s	5.8%	14 MB	21.9 MB	1.5 MB	704 B
119	91/ac09e6	984452	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:10:03.384	1m 35s	16s	151.2%	14 MB	208.3 MB	1.8 GB	2.2 MB
122	0d/e9cbe6	984454	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:11:03.232	35s	1.1s	3.2%	2 MB	3.9 MB	627.2 KB	3.6 KB
123	7e/7756cf	984455	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_291)	COMPLETED	0	2025-04-23 00:11:03.267	35.2s	1.1s	3.2%	2 MB	3.9 MB	627.2 KB	3.6 KB
124	63/e6e2ec	984457	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:11:23.252	34.7s	625ms	8.4%	2 MB	3.9 MB	627.2 KB	3.6 KB
125	2e/18ce50	984458	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_532)	COMPLETED	0	2025-04-23 00:11:23.287	34.8s	756ms	5.7%	2 MB	3.9 MB	627.2 KB	3.6 KB
109	4b/46bfcd	984440	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_291)	FAILED	0	2025-04-23 00:07:23.519	4m 39s	0ms	2.8%	0	3.6 MB	115.2 KB	607 B
112	d6/c6fb3f	984443	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_532)	FAILED	0	2025-04-23 00:07:58.406	4m 10s	1s	4.7%	0	3.6 MB	115.2 KB	607 B
114	b9/7c9f59	984445	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:08:53.434	3m 15s	2s	8.0%	14 MB	22.3 MB	1.5 MB	704 B
116	0a/b03e15	984447	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:08:53.510	3m 15s	2s	5.8%	12 MB	22.3 MB	1.5 MB	704 B
115	16/f644b8	984446	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_498)	FAILED	0	2025-04-23 00:08:53.477	3m 15s	0ms	20.3%	2 MB	5.4 MB	115.2 KB	608 B
127	94/868c87	984460	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:12:08.623	34.3s	237ms	22.1%	2 MB	3.9 MB	627.2 KB	3.6 KB
128	f7/c07300	984461	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_498)	COMPLETED	0	2025-04-23 00:12:08.657	34.5s	355ms	8.3%	2 MB	3.9 MB	627.2 KB	3.6 KB
120	cc/e8d269	984450	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:10:03.224	3m 20s	55.6s	379.9%	2.2 GB	2.8 GB	10.2 GB	1.5 GB
121	55/2487c7	984451	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:10:03.349	3m 20s	55.7s	374.8%	2.2 GB	2.8 GB	10.2 GB	1.5 GB
126	31/0e79e2	984459	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:11:38.423	2m 4s	1m 39s	116.4%	6 MB	209.8 MB	1.8 GB	150.1 KB
129	f2/ed23de	984462	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:13:23.474	1m 4s	1s	18.5%	0	5.3 MB	1.5 MB	705 B
130	99/f0394d	984463	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:13:23.513	1m 5s	1s	10.4%	0	1.7 MB	1.5 MB	705 B
131	a7/897c83	984464	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_708)	FAILED	0	2025-04-23 00:13:23.554	1m 39s	0ms	14.7%	2 MB	5.4 MB	115.2 KB	608 B
132	50/538111	984465	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:14:28.243	34.9s	364ms	10.2%	2 MB	3.9 MB	627.2 KB	3.6 KB
133	9d/37e8d3	984466	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_708)	COMPLETED	0	2025-04-23 00:14:28.278	35s	325ms	16.8%	2 MB	3.9 MB	627.2 KB	3.6 KB
6	2b/48dbc2	984335	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:BOWTIE2_ALIGN (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-22 23:28:53.731	49m 29s	39m 17s	1149.6%	20.6 GB	25.7 GB	83.7 GB	81.8 GB
134	f7/7f8eb3	984468	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_INDEX (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:18:23.121	1m 5s	17s	160.5%	12 MB	208.3 MB	2 GB	2.2 MB
135	d5/7fd6c0	984469	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|kraken2|TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:18:23.157	2m 40s	1m 4s	377.3%	2.1 GB	3.1 GB	11.9 GB	1.8 GB
136	df/f86415	984470	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:KRAKEN2_KRAKEN2 (kraken2_custom_k2|bracken|TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:18:23.190	2m 40s	1m 3s	382.5%	2.2 GB	2.9 GB	11.9 GB	1.8 GB
137	5f/a93d17	984471	NFCORE_TAXPROFILER:TAXPROFILER:SHORTREAD_HOSTREMOVAL:SAMTOOLS_STATS (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:19:28.202	2m 10s	1m 40s	118.8%	4 MB	209.8 MB	2 GB	145.8 KB
138	74/949e5b	984473	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:21:03.505	1m 9s	1s	20.0%	2 MB	13.3 MB	1.5 MB	705 B
139	3a/8ab9c7	984474	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRAKENTOOLS_KREPORT2KRONA (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:21:03.547	1m 10s	1s	22.9%	2 MB	5.3 MB	1.5 MB	705 B
140	01/68c08d	984475	NFCORE_TAXPROFILER:TAXPROFILER:PROFILING:BRACKEN_BRACKEN (kraken2_custom_k2|TS047_RoL_RNA_526)	FAILED	0	2025-04-23 00:21:03.582	1m 10s	0ms	14.8%	2 MB	5.4 MB	115.2 KB	608 B
141	d4/c2c069	984476	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:22:13.355	34.6s	851ms	5.0%	2 MB	3.9 MB	627.2 KB	3.6 KB
142	8d/cddc41	984477	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_CLEANUP (TS047_RoL_RNA_526)	COMPLETED	0	2025-04-23 00:22:13.480	34.7s	723ms	5.9%	2 MB	3.9 MB	627.2 KB	3.6 KB
145	d9/d7b7df	984478	NFCORE_TAXPROFILER:TAXPROFILER:STANDARDISATION_PROFILES:KRAKENTOOLS_COMBINEKREPORTS_KRAKEN (1)	COMPLETED	0	2025-04-23 00:22:13.517	2m 9s	1s	7.6%	2 MB	5.4 MB	1.5 MB	9.2 KB
146	2a/3d56dd	984479	NFCORE_TAXPROFILER:TAXPROFILER:STANDARDISATION_PROFILES:KRAKENTOOLS_COMBINEKREPORTS_KRAKEN (2)	COMPLETED	0	2025-04-23 00:22:13.553	2m 14s	2s	7.4%	0	5.4 MB	1.5 MB	9.2 KB
147	cc/278ad2	984482	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_KTIMPORTTEXT (kraken2_custom_k2)	COMPLETED	0	2025-04-23 00:22:48.341	1m 40s	1.4s	6.6%	2 MB	8.3 MB	979.8 KB	228.6 KB
148	8f/b91b00	984483	NFCORE_TAXPROFILER:TAXPROFILER:VISUALIZATION_KRONA:KRONA_KTIMPORTTEXT (kraken2_custom_k2)	COMPLETED	0	2025-04-23 00:22:48.377	1m 39s	1.4s	6.5%	2 MB	8.3 MB	979.8 KB	228.6 KB
143	66/2349c6	984480	NFCORE_TAXPROFILER:TAXPROFILER:STANDARDISATION_PROFILES:TAXPASTA_MERGE (kraken2|kraken2_custom_k2-bracken)	COMPLETED	0	2025-04-23 00:22:13.590	2m 44s	26s	46.5%	932.3 MB	1.3 GB	533.7 MB	3.4 KB
144	b3/31c093	984481	NFCORE_TAXPROFILER:TAXPROFILER:STANDARDISATION_PROFILES:TAXPASTA_MERGE (kraken2|kraken2_custom_k2)	COMPLETED	0	2025-04-23 00:22:13.625	2m 45s	26s	46.4%	937.6 MB	1.3 GB	533.7 MB	3.4 KB
149	ca/f69cb1	984485	NFCORE_TAXPROFILER:TAXPROFILER:MULTIQC	COMPLETED	0	2025-04-23 00:24:58.638	3m 39s	38.3s	44.2%	821.5 MB	9.7 GB	126.9 MB	76.7 MB
