feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Verrucomicrobiia_Genus	Treatment	A- T+ P+	-1.75497462317479	0.530346926448957	165	67	0.00115778699641809	0.0214358389554219
Cytophagales_Genus	Treatment	A+ T- P+	-3.03555501502307	0.91812941332998	165	70	0.00116892554566567	0.021486365245869
Piscinibacter	Treatment	A+ T- P+	-0.642491769287919	0.196222335508028	165	14	0.00129988215832665	0.0237228493894614
Chthoniobacter	Treatment	A- T+ P+	1.65957616668979	0.508277733664689	165	44	0.00134010801150451	0.0242835175134328
Elstera	Treatment	A- T+ P+	-2.52614338794243	0.785105619444361	165	57	0.00156674078720886	0.028190300783934
Elsteraceae_Genus	Treatment	A+ T- P+	-0.380908427015022	0.118803538325682	165	8	0.00162607222036378	0.0290532484127934
Piscinibacter	Treatment	A+ T+ P+	-0.699874361024744	0.219072234798587	165	14	0.00168806230359392	0.0299513832339061
Nocardia	Treatment	A- T+ P+	2.60277725715734	0.817021852002567	165	119	0.00173834092466715	0.0306307659484453
SWB02	Treatment	A+ T+ P+	-1.55146651604171	0.487759074689012	165	23	0.00176610569925812	0.0306965990585339
Bacteroidia_Genus	Treatment	A+ T+ P+	-2.90089739913857	0.9114204563506	165	68	0.00175453720725874	0.0306965990585339
Chitinilyticum	Treatment	A- T- P+	-1.63930591290756	0.516466593015608	165	155	0.00180501728430643	0.0309518064523686
Tundrisphaera	Treatment	A+ T+ P+	-2.46501062832297	0.77653589078444	165	117	0.00180333111626321	0.0309518064523686
Pirellulaceae_Genus	Treatment	A- T+ P+	1.17917722354787	0.372155760043682	165	44	0.00183787090123244	0.0313050676843258
Candidatus_Paracaedibacter	Treatment	A+ T- P+	-0.831999760772586	0.263113435986908	165	22	0.00187609747894763	0.0317445633027231
Sporomusaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0978788175264184	0.0310296671140223	165	18	0.00192371909750969	0.0323361993035346
Dechlorobacter	Total.Worm.Count	Total.Worm.Count	0.0598211130869183	0.0191375557148086	165	14	0.00210821852509103	0.0352058714484156
Chitinibacter	Total.Worm.Count	Total.Worm.Count	0.0804107060220126	0.0258022890398021	165	47	0.00217276625220457	0.0353593488814184
Candidatus_Nomurabacteria_Genus	Total.Worm.Count	Total.Worm.Count	0.00427857801537398	0.00137270491755339	165	1	0.00216945050414806	0.0353593488814184
Leptothrix	Total.Worm.Count	Total.Worm.Count	0.00427857801537399	0.00137270491755339	165	1	0.00216945050414804	0.0353593488814184
Absconditabacteriales_.SR1._Genus	Total.Worm.Count	Total.Worm.Count	0.00427857801537399	0.00137270491755339	165	1	0.00216945050414805	0.0353593488814184
X37.13_Genus	Treatment	A+ T- P+	-0.119047530130899	0.038321582306708	165	4	0.00224232189178169	0.0362603318576089
Aurantisolimonas	Treatment	A- T- P+	-2.13729712955702	0.689820312908217	165	122	0.00230163160455274	0.0369853380480016
Chitinilyticum	Treatment	A+ T- P+	-1.53646643605128	0.496555216473554	165	155	0.00233173433721707	0.0372348826974352
Haliangiaceae_Genus	Treatment	A- T- P+	-2.71427209772496	0.878413904912644	165	73	0.0023636518250816	0.0373717025713349
Sediminibacterium	Treatment	A+ T+ P+	-1.83085822371483	0.592667404581044	165	33	0.00236955609258562	0.0373717025713349
Bosea	Treatment	A- T+ P+	-1.83441333397107	0.597075424213793	165	136	0.00249944588810551	0.0391784309454575
Pseudolysobacter	Treatment	A- T+ P+	-0.839304952539323	0.273591251995817	165	12	0.00253600877569229	0.0395091611091086
Beijerinckiaceae_Genus	Treatment	A+ T+ P+	1.25502684985668	0.40957680925514	165	37	0.00256440838070819	0.0397094752285419
Bacteriovorax	Total.Worm.Count	Total.Worm.Count	0.0204268052249005	0.00668164163224087	165	2	0.0026220216934118	0.0403570206425732
Eremiobacteria_Genus	Treatment	A- T+ P+	-0.805260221851495	0.264701558653271	165	19	0.00274867891878045	0.0418492910803932
Verrucomicrobiia_Genus	Treatment	A+ T+ P+	-1.70132885318924	0.55931836351812	165	67	0.00275173420802585	0.0418492910803932
Paucibacter	Treatment	A+ T- P+	-1.31453901885363	0.434137185310091	165	163	0.00287375605427397	0.0434464302879882
Cytophaga	Treatment	A+ T- P+	-1.00673695749773	0.333797464125597	165	26	0.00298273524833544	0.0448287562323356
Saprospiraceae_Genus	Treatment	A+ T- P+	-2.22977615988598	0.740670131703532	165	46	0.00303452896518394	0.0453404766435378
Candidatus_Paracaedibacter	Treatment	A+ T+ P+	-0.883237058261088	0.293752738585811	165	22	0.00307012729787489	0.0456056700352926
Sporocytophaga	Treatment	A+ T+ P+	0.286657817714591	0.0956427316606354	165	7	0.00316269971483192	0.0467092356728066
X37.13_Genus	Treatment	A- T- P+	-0.119047530130899	0.0398582401237683	165	4	0.00326627757444158	0.0476007276233741
Rubrivivax	Treatment	A- T- P+	1.83878561285578	0.615413453162966	165	94	0.00325504281804244	0.0476007276233741
Microtrichaceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0569325450665583	0.0190695479798335	165	12	0.00327895423159055	0.0476007276233741
Culicoidibacter	Treatment	A+ T- P+	-1.78180365213008	0.597497691995866	165	162	0.003313732112302	0.0478338166493311
Pedosphaeraceae_Genus	Treatment	A+ T- P+	-2.11477931656443	0.70982301708855	165	84	0.0033425742909341	0.0479790860299811
Spirosomataceae_Genus	Total.Worm.Count	Total.Worm.Count	0.0515166903659165	0.0173119153326939	165	9	0.00337900897685541	0.0482311057869586
Phreatobacter	Treatment	A+ T- P+	-1.62830563466547	0.547657033227159	165	158	0.00340593232724762	0.0483453172006537
Telmatocola	Treatment	A+ T- P+	-1.71182193655023	0.576369168357023	165	41	0.00343982597149108	0.0485566594318216
Candidatus_Paracaedibacter	Treatment	A- T+ P+	-0.825134098029779	0.278537005409624	165	22	0.00352151941459791	0.0494367148587783
Microtrichales_Genus	Treatment	A- T+ P+	1.80087662375274	0.609811420612615	165	81	0.00362265589065704	0.0505786109323974
Culicoidibacter	Treatment	A+ T+ P+	-1.96128809320325	0.667075714564498	165	162	0.00377033175960633	0.05235433503149
X37.13_Genus	Treatment	A- T+ P+	-0.119047530130899	0.0405679730426232	165	4	0.00383551699310664	0.0524050583817512
Rhodocyclaceae_Genus	Treatment	A- T- P+	1.64334766493655	0.559760307119256	165	71	0.00382047925538099	0.0524050583817512
Rhodocyclaceae_Genus	Treatment	A+ T- P+	1.57961234747067	0.538179824665843	165	71	0.0038287121972685	0.0524050583817512
Ruminiclostridium	Treatment	A- T+ P+	-0.63964205580126	0.218875955592633	165	6	0.00397999516389794	0.0540898278923364
Arthrospira_PCC.7345	Treatment	A+ T- P+	0.94460569222369	0.32583975129161	165	18	0.00427310723294974	0.0573075048780546
Saprospiraceae_Genus	Treatment	A+ T+ P+	-2.39610812738344	0.826920445018443	165	46	0.00429073257036478	0.0573075048780546
Tundrisphaera	Treatment	A- T+ P+	-2.13364455127675	0.736313072870328	165	117	0.00428927083373906	0.0573075048780546
Nordella	Treatment	A- T- P+	-0.597193261720471	0.206183389577836	165	12	0.00430647394778336	0.0573075048780546
Citrobacter	Treatment	A- T- P+	1.12255775153605	0.387819891247894	165	35	0.00433108229588499	0.0573363485284257
Rhizobium	Treatment	A- T+ P+	-1.96700411849639	0.682655971790398	165	71	0.00450623665681232	0.0593476013306983
Candidatus_Alysiosphaera	Total.Worm.Count	Total.Worm.Count	0.083962222302701	0.0291756253327099	165	41	0.00455505955021973	0.0596829597477508
Sporichthyaceae_Genus	Treatment	A+ T+ P+	0.692936579079689	0.241181541519443	165	21	0.00462033816740297	0.0602294082536458
Unknown_Family_Genus	Total.Worm.Count	Total.Worm.Count	-0.0601131324205785	0.0209440708958545	165	16	0.00466102499956614	0.0604513648420888
Staphylococcus	Total.Worm.Count	Total.Worm.Count	0.0413881999026633	0.0144319017596805	165	10	0.00469399922517006	0.0605715556581287
NS9_marine_group_Genus	Total.Worm.Count	Total.Worm.Count	0.137752932932419	0.0480911256026661	165	57	0.00474232017699424	0.0608875781518608
Cytophagales_Genus	Treatment	A+ T+ P+	-2.91120834465268	1.02504468663959	165	70	0.00510031618452872	0.0651565392573544
Caulobacter	Treatment	A- T- P+	-0.986557359074223	0.349556465676924	165	22	0.00537708378753309	0.0680381647928427
Kapabacteriales_Genus	Treatment	A+ T- P+	-1.11148972098509	0.393840435358807	165	30	0.00537914257853394	0.0680381647928427
Nitrosomonas	Treatment	A+ T- P+	-1.98733214769193	0.70462621918933	165	46	0.0054075674746791	0.0680607630433749
Citrobacter	Treatment	A+ T- P+	1.05012111450204	0.372868240958091	165	35	0.00547325276209502	0.0682154185714769
Bradyrhizobium	Treatment	A+ T+ P+	-1.88819315201673	0.670392873556781	165	63	0.00546978023693374	0.0682154185714769
