feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
Verrucomicrobiia_Genus	Treatment	A+ T+ P+	-1.7529515841035	0.527287731453175	130	52	0.00116042607303215	0.0175514443546113
Candidatus_Protochlamydia	Treatment	A+ T+ P+	1.46279408033644	0.441449920151244	130	42	0.0012026261900947	0.0180021982269845
Rhizobium	Treatment	A- T- P+	-2.1162031348565	0.641166076198373	130	61	0.00125528987598227	0.018598784693125
Dinghuibacter	Treatment	A- T- P+	-2.14373270035351	0.652762591344304	130	95	0.00132474566889942	0.0194296031438582
Sporomusaceae_Genus	Treatment	A- T+ P+	-1.54722526932265	0.474150237750076	130	16	0.0014182792331889	0.0205934144659028
Eremiobacteria_Genus	Treatment	A+ T+ P+	-0.98527829078436	0.304483245412395	130	18	0.00154924935814383	0.022272376911137
Pirellulaceae_Genus	Treatment	A- T- P+	1.16675145197422	0.361564873730116	130	40	0.00159468660053888	0.0227008327841417
Gemmataceae_Genus	Treatment	A- T- P+	2.15506251485767	0.67124931687074	130	99	0.00168127503585821	0.0237010810880205
Tundrisphaera	Treatment	A+ T+ P+	-2.39679633522926	0.74839736532202	130	104	0.00172475662574851	0.0240802559671811
Vampirovibrionaceae_Genus	Treatment	A- T+ P+	2.15075033002178	0.672660886821114	130	79	0.00175372263317529	0.0242514786987669
Bosea	Treatment	A- T+ P+	-1.84652930723469	0.58331323426518	130	106	0.00194105664925663	0.0263436010582344
Roseicella	Treatment	A+ T+ P+	1.61368400306155	0.509764384994095	130	63	0.00194129842509028	0.0263436010582344
Piscinibacter	Treatment	A- T+ P+	-0.694704794623897	0.22082398701377	130	13	0.00206579748087674	0.0275186967177342
Elsteraceae_Genus	Treatment	A+ T+ P+	-0.20146760254858	0.0640101038862465	130	6	0.0020562120204234	0.0275186967177342
Pseudolysobacter	Treatment	A- T+ P+	-0.834785454127915	0.265859111699792	130	10	0.00210548135345732	0.0277923538656366
Aurantisolimonas	Treatment	A- T- P+	-2.03988177925482	0.651101735057611	130	99	0.0021524760355254	0.0281567135457917
Bradyrhizobium	Treatment	A- T+ P+	-1.90927919632442	0.612733699163063	130	53	0.00227071797764627	0.0294382366387713
env.OPS_17_Genus	Treatment	A+ T+ P+	3.18011808802837	1.02519588575762	130	86	0.00237308172363487	0.0304930501125472
Pseudorhodoplanes	Treatment	A+ T+ P+	1.33081955900073	0.429459889608375	130	36	0.00239655125058902	0.0305244948759233
Azospira	Treatment	A- T- P+	1.23299386553431	0.398521594345432	130	27	0.0024336200616294	0.0307270985172687
