gene	log2FoldChange	padj	baseMean	pvalue	stat
stx7l	-0.5131668281619329	0.02364152220527451	1538.886716518199	0.005867029530613857	-2.7551217703772517
rhbdf1b	0.9739399604002175	0.02365804999943378	55.53581322121104	0.005873429520916405	2.754765052791153
si:ch73-139j3.4	-0.6906246678692916	0.02365804999943378	1487.1997888325186	0.0058732640331501974	-2.75477427220344
si:ch211-120k19.1	-1.102609972927803	0.02369562858883309	122.17870881400529	0.005883909911405973	-2.7541816610302097
ggcta	-0.6192813977060494	0.02372568097318611	105.35395748336983	0.005892524739685267	-2.7537028168919857
mrtfab	-0.5779300390155022	0.02373101518823083	1151.3487296952062	0.005895002267091488	-2.753565223547562
anxa4	-0.6522380033193372	0.023766736521053447	11257.933073937662	0.005905030228065692	-2.753008836994558
LOC103909421	1.0295951423857579	0.023771050447708587	36.66194362810486	0.005907256719797791	2.752885418938083
cnn3a	-0.6271729311291043	0.02378513817686761	585.5329268870643	0.005911912957256111	-2.752627451584615
spink2.5	1.8641785171184329	0.023792928654197604	36.71371343405229	0.005915005044551579	2.7524562432718245
si:dkey-26c10.5	1.2137533350086547	0.02384739750853965	105.73392351092839	0.005929704563375648	2.751643435132583
cul9	0.3332864086151961	0.02385039069074616	2191.08236360715	0.005931607341362042	2.751538354026419
dexi	-0.9951980556819807	0.02387219796483635	52.500045101227876	0.005938190400637633	-2.7511750381191313
LOC137487402	-1.5581421837770375	0.02391972208678807	193.29961447876454	0.005951173873246637	-2.750459549054908
scaf11	0.2937764049887511	0.023919970633072902	1204.5987731380897	0.005952397607870621	2.75039218443683
bicdl2	-0.7839310369503462	0.023958359527578806	124.42378360176255	0.005964278067656355	-2.7497388321970204
rbbp5	0.37682087484955445	0.023958359527578806	337.7463190228583	0.005964213643525375	2.7497423719644623
ubl7b	0.3512624443960168	0.02399030205916073	648.9092897391051	0.005973395266685671	2.7492382371333037
dis3l2	0.40400238825689744	0.02400058367683735	626.0899642776052	0.005977121120665716	2.7490338610317795
acsl5	-0.9466988092933556	0.024017912913577764	10470.892300119656	0.005982603459504871	-2.7487333442304207
terb1	3.873958226792019	0.02404906268309729	3.0868655448265354	0.005991530699062807	2.748244524278448
gtf2h2	0.4424995994372889	0.02405101902059806	159.17253767222644	0.005993186359142568	2.748153939098043
eif4g1a	0.6258847515947705	0.024065294271539996	5768.073724127036	0.005997912513103984	2.747895483736232
ttc7a	-0.4473262713281272	0.024077464685327617	881.1921834491494	0.006002115352654653	-2.7476658005410326
