gene	log2FoldChange	padj	baseMean	pvalue	stat
LOC100538242	4.371116063744275	0.010635833758160214	25.9970254820288	0.0011679450909822771	3.24659488366834
coa1	-0.7148628590635636	0.010659084654126873	97.16331440918023	0.001171554254668757	-3.2457165464556796
rc3h2	0.6809126216716781	0.010659084654126873	1062.6587482319326	0.0011713360336124748	3.2457695823354467
ssna1	1.2037263966776146	0.010691036442149039	67.78046385745216	0.0011755956660345172	3.2447359787480385
greb1l	-1.9190709381342177	0.010701455886683756	256.58772255788796	0.0011772714609106258	-3.2443302939375163
chkb	-0.9827075817033275	0.0107457708718971	1862.243675403197	0.0011826788289343384	-3.243024880221304
uri1	0.48193435083902697	0.010776652702071022	713.0300566446467	0.001186611469448902	3.2420789455217762
hsd17b10	0.733906109681523	0.010820405745151564	1020.5300497472263	0.0011923442760488386	3.24070518511042
LOC110437818	1.4400611351026504	0.010820405745151564	224.43431675480213	0.0011925010046541298	3.2406677137812254
cip2a	1.3529999569166946	0.010833166205175411	73.02831048583478	0.0011949804913034643	3.2400755123386045
ugt5f1	-1.2255618088726719	0.010833166205175411	233.26777640230185	0.0011948550875636587	-3.2401054365430264
dyrk2	-0.4549785374957337	0.010883472393858428	266.70595442012035	0.0012010687252224767	-3.2386261984448343
keap1a	-0.7952095513318647	0.010913853084584965	2176.3188718175766	0.0012049620350458115	-3.237702943361107
col12a1b	1.4510335545226785	0.0109896620318532	239.9857529211908	0.0012138761865883717	3.235599386232019
si:ch73-299h12.1	-0.918062994799215	0.01105119194946199	81.2449423348391	0.001221219933590059	-3.233877104731792
anpepb.1	-0.8813122622341456	0.011058728382776028	70212.0853760004	0.0012226005126730443	-3.2335543950427117
map7d1a	-0.4678844586032866	0.011075569978509097	721.4284623035954	0.0012250110338308394	-3.232991742902282
si:dkey-30c15.2	-1.2811256973268508	0.0110783838952951	989.7347054199843	0.0012258710001530164	-3.232791261192799
si:ch211-71n6.4	-0.861065699219037	0.01108800772042633	1092.629278299003	0.0012274851282952522	-3.2324153141591037
naa40	0.8028395696750174	0.011110443027639801	372.2931774125842	0.001230519124761137	3.231709899203175
si:ch211-80h18.1	4.738309679652678	0.011152809331520795	3.7251535746634388	0.0012357637562341879	3.2304942833403087
laynb	-1.0249540086029476	0.011218680972300448	151.7031314616218	0.0012436182087279411	-3.2286826367279637
zgc:171506	1.370744151085393	0.011221863672360959	100.24280201274813	0.0012445268593004205	3.22847373682122
homeza	-1.3131152393507042	0.0112260523263924	299.966785098682	0.001245547437273712	-3.2282392725302445
pde2a	-0.7672454219927537	0.011313142891323787	82.36264669541609	0.0012557706285331917	-3.2259003683207017
fggy	-0.8004606220008519	0.011337239245604418	566.4255807173336	0.0012590069041876816	-3.2251636227229996
ccr12a	1.4616001761646629	0.01134132558918513	160.3513051589548	0.0012605842103190566	3.2248051789146155
rps16	-0.5255551619092398	0.01134132558918513	12926.050241877721	0.0012605339962097222	-3.2248165837193365
gadd45gip1	0.5673877369638328	0.011363388419969206	569.4273470940414	0.0012635993364124459	3.224121140447284
abcg8	-1.2597895956924048	0.011476519825873133	2805.1274874666287	0.001277316362808308	-3.221028071632209
itga2b	-2.17676941895122	0.011476519825873133	30.42314221415539	0.001276886562344251	-3.2211245215018804
entpd8	-1.410260853015472	0.011507655205001634	2470.5074764191686	0.001281351671744201	-3.2201239816728484
si:dkey-106c17.2	2.0423236753272955	0.011522264002059628	32.835530137971844	0.001283549048523062	3.2196327755113083
st6galnac	-0.8739509097507565	0.011526247045132903	3198.578371254187	0.0012845636659343717	-3.219406227736259
si:ch211-285f17.1	-0.6486493266805801	0.011553377193683835	1861.166313579663	0.0012887317569060376	-3.218477289577291
thnsl2	-1.0449999947494344	0.011553377193683835	557.2610776821189	0.0012884313903870582	-3.2185441391652634
entpd1	0.8230469592164964	0.011555633464573742	264.9198892628698	0.0012895558074042617	3.2182939626783833
duox	3.872508535107429	0.01158675376279494	134.01201021924044	0.0012937611768528178	3.2173600728078138
LOC141381088	2.0614584352824514	0.01158675376279494	62.589701208737274	0.0012941765186538505	3.217267989594919
LOC137491177	2.031473187124281	0.011605035149449286	78.01912043685938	0.0012968372561340828	3.216678737933389
rpl5b	-0.6153952998454418	0.011605035149449286	21296.874586355458	0.0012973680881820317	-3.2165613124511303
ei24	-0.775671204171041	0.011622556900868743	255.23451774350474	0.001299902594589213	-3.2160012642797335
si:dkey-92i17.2	1.602804072227049	0.011629354091626971	67.87318175411295	0.0013012388376336286	3.2157064011641854
LOC101884567	2.671261287670166	0.011656973671010915	10.008300364556664	0.0013054840492424428	3.214771478886123
si:dkey-32e6.3	1.4074733108132729	0.011656973671010915	56.42352801088725	0.0013053125612676412	3.2148091912376944
rnf111	-0.40117540175832833	0.011657767434076179	754.9051062125876	0.0013061503757432424	-3.2146249887311873
si	-1.1204061793133449	0.01168974350095951	83691.67298752721	0.0013103120284645782	-3.2137116176377343
fbxl5	-0.5176391415289459	0.01170212504917634	722.7494249586405	0.001312279514157969	-3.213280738962591
fads2	-2.422355932949513	0.011752241654286774	32989.51296871325	0.0013192616482627095	-3.211756450608647
parp11	-1.5314116223676937	0.011752241654286774	28.71890650382814	0.0013192139462763297	-3.2117668392761183
ubtd1b	-0.9907355224245039	0.011752241654286774	295.34037179354834	0.0013196459374049292	-3.211672771722739
mtfr1l	0.5948604197353422	0.011767748975459302	380.43670114779576	0.0013219701162188171	3.2111671609588868
epha7	-1.5732068595536552	0.011778118658423887	52.81894254302518	0.0013237184227036407	-3.2107873679504983
rtel1	0.7602187257487146	0.011790395347734996	126.37959928739541	0.0013256821754102947	3.210361324052993
cygb1	-0.7529746711197649	0.011843211941904394	5447.661948884312	0.001332793973550289	-3.208823249114307
lonp2	-0.6438313879052316	0.011843211941904394	979.4539251432977	0.0013325547246477378	-3.2088748684671344
slc1a3a	-1.8645215051546087	0.011888127032261702	331.37214062906787	0.0013384374037510947	-3.207608118574422
ddx23	0.2924674623083435	0.01190497890730413	1029.1458527090992	0.0013414767837132834	3.206955643293649
marchf5l	0.49160021912273666	0.01190497890730413	1342.2044698432203	0.0013415140429994996	3.206947653166135
slc6a19b	-1.2698895879566063	0.01194505831795358	15193.61790407206	0.0013466220581337535	-3.2058541899224107
ankrd28b	0.3883978599230238	0.011950062600366861	1170.4667034131676	0.001347778123782027	3.2056072441908974
pag1	-0.8711976191781824	0.011960990840283566	723.9574371873872	0.0013496031073438983	-3.205217809176808
clic4	-0.6565962402350257	0.011973221004437182	1418.9053304490637	0.0013515761389426093	-3.204797328180856
