gene	log2FoldChange	padj	baseMean	pvalue	stat	metadata	value
ctss2.2	1.0385353305724006	0.004641508615445958	1498.9317536699343	7.896155651785478e-4	3.3564095073699916	Treatment	A+ T- P+
cttnbp2nlb	-0.862823932922818	0.0017048435331288485	363.51408361192864	2.349366640834771e-4	-3.6781447075598392	Treatment	A+ T- P+
ctu1	0.8414635716428575	0.023149551185246278	123.62681945680576	0.005854498436264852	2.7558212354935616	Treatment	A+ T- P+
cuedc1b	-1.154029493154835	0.016682216862796327	79.1138335575978	0.0038571599682766075	-2.8896132884480927	Treatment	A+ T- P+
cul1a	0.4870560688771135	2.4097657872781324e-4	802.3897053507235	2.1151439149033782e-5	4.25237594404724	Treatment	A+ T- P+
cul2	0.7189227472664388	1.2339172170410542e-7	701.6555251923585	2.5173421632935483e-9	5.960326653075828	Treatment	A+ T- P+
cul3b	-0.38580745159642793	0.0058745131487204375	479.3197142036491	0.0010592214896803936	-3.2743051808701087	Treatment	A+ T- P+
cul4a	-0.34177522693103796	0.008755207474362965	855.5614154074262	0.001734765019447559	-3.13224253958835	Treatment	A+ T- P+
cul9	0.44619790760600564	0.0016687730674362447	2191.08236360715	2.2869949506907386e-4	3.685003502820047	Treatment	A+ T- P+
cutc	-0.4268990957270303	0.0492349674264728	251.23970381350134	0.015246170755513872	-2.4264780930526375	Treatment	A+ T- P+
cux1b	-0.3391847868123763	0.04009972769654923	355.44855205204817	0.011743394291664416	-2.5197627939689387	Treatment	A+ T- P+
cwc15	0.38085707588309997	0.008885195581445408	683.7028646099403	0.0017668817992156295	3.126853113737	Treatment	A+ T- P+
cwc22	0.513822515420868	0.006376088049407844	562.7274782680338	0.0011772180115937377	3.2443432249750894	Treatment	A+ T- P+
cwf19l1	0.6399039535336849	9.621422650487838e-4	197.1495491484574	1.1538977278891765e-4	3.8557194292176855	Treatment	A+ T- P+
cxadr	-0.8637220719000158	0.006230544237750951	506.7832722193187	0.0011394568929485758	-3.253617255673433	Treatment	A+ T- P+
cxcl-c13b	2.459711033253403	3.874710961837826e-6	501.9956207027375	1.505692315281615e-7	5.251862033382673	Treatment	A+ T- P+
cxcl11.8	3.1716195277929917	0.0016679068190909685	189.20840011429658	2.282262354582629e-4	3.6855310706861286	Treatment	A+ T- P+
cxcl18a.1	2.2161565112192636	1.8236690993981567e-8	277.2621442873384	2.4271886784625975e-10	6.3315446754509646	Treatment	A+ T- P+
cxcl18b	-1.8535714940251464	0.002067365520207999	287.42931341336777	2.95639194224139e-4	-3.6190914173628577	Treatment	A+ T- P+
cxcr3.2	1.306402817824637	0.005047788289581721	283.69502718175846	8.7852651875316e-4	3.326789686414541	Treatment	A+ T- P+
cxxc5b	-0.981191056880451	0.02796770164587443	62.763814484333146	0.007440574241727996	-2.676454164161632	Treatment	A+ T- P+
cyb561d1	-0.8691386289740856	0.04597615756094558	31.23310349648117	0.013982451182254833	-2.4577139105004604	Treatment	A+ T- P+
cyb5a	-0.9214382696902725	0.009465712122484501	6592.715776763367	0.0019145588110575124	-3.1031757887264453	Treatment	A+ T- P+
cybb	1.3035646209831242	0.006087350870636981	442.2196577415704	0.001106764186564056	3.2618788863717203	Treatment	A+ T- P+
cyfip1	0.2889987462713251	0.04852152983195868	1667.3017815182234	0.014959253404742886	2.43336401303096	Treatment	A+ T- P+
cyfip2	0.8438733060888284	0.005700488064765792	149.16309660935403	0.0010214747399291302	3.2845442016628126	Treatment	A+ T- P+
cygb1	-1.171024615299049	1.2378174536505802e-5	5447.661948884312	6.036667428305156e-7	-4.990040372889448	Treatment	A+ T- P+
cyld3	0.48617704103260884	0.008911882707352957	766.5698235698547	0.0017757100532161962	3.1253874524065632	Treatment	A+ T- P+
