taxa	metadata	value	coef	stderr	N	N.not.0	pval	qval	comparison_name	base_treatment	comparison_treatment
Sphaerotilus	Treatment	A- T+ P-	-2.48459317125262	0.638321198853469	236	49	1.3035969788629e-4	0.00238611095658094	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Bosea	Treatment	A+ T- P+	-2.11845730166019	0.545948063917699	236	196	1.3657150023091e-4	0.00248303485990299	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Obscuribacteraceae_Genus	Treatment	A+ T+ P+	1.28792481955807	0.333176696862438	236	51	1.4454354841983e-4	0.00261045648446219	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Pseudorhodoplanes	Treatment	A+ T- P-	1.72515525250548	0.447470838786201	236	59	1.5034310109095e-4	0.00269721497255221	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Roseomonas	Treatment	A- T+ P-	-2.45279069192821	0.639247258953277	236	181	1.6128588235903e-4	0.0028744964165173	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Nocardia	Treatment	A- T+ P+	3.13160846088281	0.820538480852785	236	159	1.7438294932716e-4	0.00308760398514574	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
alphaI_cluster	Treatment	A+ T+ P-	2.39497788634319	0.628337375571699	236	74	1.7767569966424e-4	0.00312547708045742	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Roseicella	Treatment	A+ T+ P+	1.67184767950381	0.439188555535822	236	77	1.8104115374157e-4	0.00316413216442531	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Pirellulaceae_Genus	Treatment	A- T- P+	1.02990496110746	0.272246649731602	236	39	1.9804477215705e-4	0.00343912363957346	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Larkinella	Treatment	A- T- P+	0.959409753964694	0.253919861073829	236	13	2.0150872204466e-4	0.00347698807655418	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Chlamydiales_Genus	Treatment	A- T+ P+	2.05475777436529	0.544466621486821	236	111	2.0496469128705e-4	0.00351423638415596	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Chlamydiales_Genus	Treatment	A+ T+ P-	2.59593567418874	0.688701853534051	236	111	2.0853117219964e-4	0.00355289902823163	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
Parachlamydiaceae_Genus	Treatment	A+ T- P+	1.46430266116714	0.389302441910922	236	59	2.1488391400704e-4	0.00361565542264021	A- T- P- vs A+ T- P+	A- T- P-	A+ T- P+
